и, and
поражать, hit
предвы́борный, election
применить, apply
пушка, gun
свое, his
скрытый, hidden
ток, current
угу́, yeah
фантасти́ческий, fantastic
безу́мный, mad
благода́рный, grateful
вылеза́ть, to get
закрепить, to fix
крем, cream
направля́ться, to go
одина́ково, equally
пароход, steamer
сверкать, sparkle
снизить, to reduce
сравнивать, compare
вздро́гнуть, start
воспринять, to perceive
драгоце́нный, precious
заби́ть, score
звон, ringing
инфраструктура, infrastructure
машинка, machine
обеща́ние, promise
препятствие, obstacle
приблизиться, closer
придать, to give
прилететь, to fly
слушатель, the listener
супру́га, spouse
уложить, put
бедро, hip
иллю́зия, illusion
максимально, maximum
накрыть, cover
наслажде́ние, pleasure
обожа́ть, adore
осторожный, careful
пейза́ж, landscape
передо, before
поде́лать, to do
разделение, division
упражнение, exercise
вне́шне, externally
внешность, appearance
гвоздь, nail
