и, and
шептаться, to whisper
шибко, very
шутливый, humorous
щедрость, generosity
эссе, essay
абажур, lampshade
авоська, the bag
автоматика, automation
активизировать, to activate
амбар, the barn
аналогично, similarly
анатомия, anatomy
античность, antiquity
